licenseNameSynonym,licenseUrlSynonym,spdxLicenseId
"The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",Apache-2.0
"Apache License, Version 2.0",,Apache-2.0
"Apache 2","http://www.apache.org/licenses/LICENSE-2.0.txt",Apache-2.0
"Apache 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",Apache-2.0
"New BSD License","https://raw.githubusercontent.com/janino-compiler/janino/master/LICENSE",BSD-3-Clause-Clear
"BSD","http://www.jcraft.com/jzlib/LICENSE.txt",BSD-3-Clause-Clear
"Common Public License - v 1.0","http://www-128.ibm.com/developerworks/library/os-cpl.html",CPL-1.0
"Eclipse Public License 1.0","http://www.eclipse.org/legal/epl-v10.html",EPL-1.0
"Eclipse Public License - Version 1.0","http://www.eclipse.org/org/documents/epl-v10.php",EPL-1.0
"EPL","http://www.eclipse.org/legal/epl-v10.html",EPL-1.0
"GPL 2","http://www.gnu.org/licenses/gpl-2.0-standalone.html",GPL-2.0-only
"GNU General Public License (GPL), version 2, with the Classpath exception","http://openjdk.java.net/legal/gplv2+ce.html",GPL-2.0-with-classpath-exception
"GNU General Public License, version 2, with the Classpath Exception","http://openjdk.java.net/legal/gplv2+ce.html",GPL-2.0-with-classpath-exception
"MIT License","http://www.opensource.org/licenses/mit-license.php",MIT
"MIT license","http://www.opensource.org/licenses/mit-license.php",MIT
"The MIT License","http://www.opensource.org/licenses/mit-license.php",MIT
